country_name,country_code,indicator_name,year,value,region,continent
afghanistan,afg,control of corruption,1996-12-31,-1.29170477390289,south asia,asia
afghanistan,afg,control of corruption,1998-12-31,-1.17601227760315,south asia,asia
afghanistan,afg,control of corruption,2000-12-31,-1.27172422409058,south asia,asia
afghanistan,afg,control of corruption,2002-12-31,-1.25113701820374,south asia,asia
afghanistan,afg,control of corruption,2003-12-31,-1.34417974948883,south asia,asia
afghanistan,afg,control of corruption,2004-12-31,-1.35064733028412,south asia,asia
afghanistan,afg,control of corruption,2005-12-31,-1.44725239276886,south asia,asia
afghanistan,afg,control of corruption,2006-12-31,-1.44629228115082,south asia,asia
afghanistan,afg,control of corruption,2007-12-31,-1.61325109004974,south asia,asia
afghanistan,afg,control of corruption,2008-12-31,-1.67209553718567,south asia,asia
afghanistan,afg,control of corruption,2009-12-31,-1.55229878425598,south asia,asia
afghanistan,afg,control of corruption,2010-12-31,-1.64539110660553,south asia,asia
afghanistan,afg,control of corruption,2011-12-31,-1.60047078132629,south asia,asia
afghanistan,afg,control of corruption,2012-12-31,-1.43037283420563,south asia,asia
afghanistan,afg,control of corruption,2013-12-31,-1.44590842723846,south asia,asia
afghanistan,afg,control of corruption,2014-12-31,-1.36474287509918,south asia,asia
afghanistan,afg,control of corruption,2015-12-31,-1.3485871553421,south asia,asia
afghanistan,afg,control of corruption,2016-12-31,-1.53404927253723,south asia,asia
afghanistan,afg,control of corruption,2017-12-31,-1.52172565460205,south asia,asia
afghanistan,afg,control of corruption,2018-12-31,-1.48977172374725,south asia,asia
afghanistan,afg,control of corruption,2019-12-31,-1.40771043300629,south asia,asia
afghanistan,afg,control of corruption,2020-12-31,-1.48053777217865,south asia,asia
afghanistan,afg,control of corruption,2021-12-31,-1.14237689971924,south asia,asia
afghanistan,afg,government effectiveness,1996-12-31,-2.17516660690308,south asia,asia
afghanistan,afg,government effectiveness,1998-12-31,-2.10229182243347,south asia,asia
afghanistan,afg,government effectiveness,2000-12-31,-2.17394614219666,south asia,asia
afghanistan,afg,government effectiveness,2002-12-31,-1.58768701553345,south asia,asia
afghanistan,afg,government effectiveness,2003-12-31,-1.12741959095001,south asia,asia
afghanistan,afg,government effectiveness,2004-12-31,-0.909888744354248,south asia,asia
